# QMK physical position (1..76, flat LAYOUT_ergodox_pretty arg order)
#   <-> ZMK physical position (1..76, matrix-transform order; ZMK binding
#   index 0 is &bootloader and is excluded here).
# Positions 1-64 (rows 1-5) are identity. The 12 thumb keys (65-76) are a
# permutation: QMK's "pretty" arg order and ZMK's matrix order arrange the
# same physical thumb cluster differently. Derived from geometry and
# cross-checked: every base-mac thumb key aligns semantically under this map.
qmk_pos	zmk_pos	note
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
40	40
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
50	50
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
60	60
61	61
62	62
63	63
64	64
65	65	L thumb top-outer (leader)
66	66	L thumb top-inner (lock/play-pause)
67	67	R thumb top-inner (to-layers)
68	68	R thumb top-outer (repeat)
69	71	L thumb mid 1u (vol-up)
70	72	R thumb mid 1u (layer-id / none)
71	69	L thumb big-outer 2u (nav/bspc)
72	70	L thumb big-inner 2u (cmd)
73	75	L thumb bottom 1u (vol-down)
74	76	R thumb bottom 1u (trans / none)
75	73	R thumb big-inner 2u (cmd/enter)
76	74	R thumb big-outer 2u (num/space)
